Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
2630,Guy Laroche,eau de parfum,Jai Ose,5,women,a sweet blend of oriental greens.,evening,1977,https://www.fragrancenet.com/perfume/guy-laroche/jai-ose/eau-de-parfum#120739
2631,Worth,body spray,Je Reviens,4.75,women,"Orange Blossom, Jasmine, Clove, Bergamot, Lemon",romantic,1932,https://www.fragrancenet.com/perfume/worth/je-reviens/body-spray#127986
2632,Jimmy Choo,aftershave balm,Jimmy Choo,,men,"Pink pepper, Pineapple leaf, Melon, Lavender, Suede",,2014,https://www.fragrancenet.com/cologne/jimmy-choo/jimmy-choo/aftershave-balm#290712
2633,Kenneth Cole,body spray,Kenneth Cole Reaction,,men,"Melon, Green Apple, Watermelon, Lemon, Lime",casual,2004,https://www.fragrancenet.com/cologne/kenneth-cole/kenneth-cole-reaction/body-spray#268908
2634,Kenneth Cole,body mist,Kenneth Cole Reaction,4.667,women,"Watermelon, Mandarin Orange, Pink Grapefruit, Sweet Pea, White Orchid",daytime,2005,https://www.fragrancenet.com/perfume/kenneth-cole/kenneth-cole-reaction/body-mist#285372
2635,Guerlain,eau de toilette,L'Heure Bleue,3.833,women,"Anise, Bergamot, Tuberose, Neroli, Rose",evening,1912,https://www.fragrancenet.com/perfume/guerlain/lheure-bleue/edt#137637
2636,ESTELLE EWEN,eau de toilette,L'Oriental,5,men,,,,https://www.fragrancenet.com/cologne/estelle-ewen/loriental/edt#306287
2637,La Perla,eau de parfum,La Mia Perla,5,women,"Jasmine Sambac, Mandarin Orange, Orris Root, Peony, Musk",,2017,https://www.fragrancenet.com/perfume/la-perla/la-mia-perla/eau-de-parfum#302185
2638,Lalique,eau de toilette,Lalique Hommage Voyageur,4.667,men,"Bergamot, Cardamom, Vetiver, Amber, Vanilla",,2014,https://www.fragrancenet.com/cologne/lalique/lalique-hommage-voyageur/edt#311528
2639,Ted Lapidus,aftershave balm,Lapidus,,men,"Woody, Balsamic, Sweet , Aromatic, Honey",romantic,1987,https://www.fragrancenet.com/cologne/ted-lapidus/lapidus/aftershave-balm#311532
2640,Parfums M Micallef,eau de parfum,M. Micallef Paris Mon Parfum Cristal,,women,,,,https://www.fragrancenet.com/perfume/parfums-m-micallef/m.-micallef-paris-mon-parfum-cristal/eau-de-parfum#282597
